PDF Name,Text from 2nd last <td>,Download Link
"Friday, 21st August, 2020","Friday, 21st August, 2020",https://na.gov.pk/uploads/documents/1598521357_901.pdf
"Thursday, 17th September, 2020","Thursday, 17th September, 2020",https://na.gov.pk/uploads/documents/1602135163_687.pdf
"Wednesday, 16th September, 2020","Wednesday, 16th September, 2020",https://na.gov.pk/uploads/documents/63ec5dbdaa9f6_154.pdf
"Tuesday, 15th September, 2020","Tuesday, 15th September, 2020",https://na.gov.pk/uploads/documents/1603350375_119.pdf
"Monday, 14th September, 2020","Monday, 14th September, 2020",https://na.gov.pk/uploads/documents/1602662609_886.pdf
"Wednesday, 16th September, 2020","Wednesday, 16th September, 2020",https://na.gov.pk/uploads/documents/1603875423_902.pdf
"Thursday, 29th October, 2020","Thursday, 29th October, 2020",https://na.gov.pk/uploads/documents/63ec5fa85c833_713.pdf
"Wednesday, 28th October, 2020","Wednesday, 28th October, 2020",https://na.gov.pk/uploads/documents/63ec5ec31f2b3_636.pdf
"Monday, 26th October, 2020","Monday, 26th October, 2020",https://na.gov.pk/uploads/documents/1606710929_478.pdf
"Friday, 23rd October, 2020","Friday, 23rd October, 2020",https://na.gov.pk/uploads/documents/1604999470_160.pdf
"Tuesday, 20th October, 2020","Tuesday, 20th October, 2020",https://na.gov.pk/uploads/documents/1606377100_724.pdf
"Monday, 19th October, 2020","Monday, 19th October, 2020",https://na.gov.pk/uploads/documents/1603863065_707.pdf
"Friday, 16th October, 2020","Friday, 16th October, 2020",https://na.gov.pk/uploads/documents/1603944133_348.pdf
"Thursday, 4th February, 2021","Thursday, 4th February, 2021",https://na.gov.pk/uploads/documents/1615286936_490.pdf
"Wednesday, 3rd February, 2021","Wednesday, 3rd February, 2021",https://na.gov.pk/uploads/documents/1614148939_360.pdf
"Tuesday, 2nd February, 2021","Tuesday, 2nd February, 2021",https://na.gov.pk/uploads/documents/63ec619cd534f_767.pdf
"Monday, 1st February, 2021","Monday, 1st February, 2021",https://na.gov.pk/uploads/documents/1615368236_943.pdf
"Friday, 29th January, 2021","Friday, 29th January, 2021",https://na.gov.pk/uploads/documents/1613460616_667.pdf
"Tuesday, 26th January, 2021","Tuesday, 26th January, 2021",https://na.gov.pk/uploads/documents/63ec612163bda_398.pdf
